Combination,Fold,CV_PR_AUC,CV_ROC_AUC,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators
23,1,0.2721256112261038,0.600413886008526,balanced,6.0,0.7,10,300
23,2,0.08091828262667293,0.45254571026722923,balanced,6.0,0.7,10,300
23,3,0.06184281377620608,0.5106471353806108,balanced,6.0,0.7,10,300
23,4,0.07435256453034303,0.5814318483641192,balanced,6.0,0.7,10,300
24,1,0.2706691244921544,0.5980076750596014,balanced,6.0,0.7,10,500
24,2,0.08227706704784983,0.4610032817627754,balanced,6.0,0.7,10,500
24,3,0.05902718499283892,0.4931188214770304,balanced,6.0,0.7,10,500
24,4,0.07700259189398988,0.5777697291641515,balanced,6.0,0.7,10,500
25,1,0.2769542877037814,0.6096088910159262,balanced,8.0,sqrt,3,300
25,2,0.09719708770730737,0.5301640881387717,balanced,8.0,sqrt,3,300
25,3,0.07060260515347407,0.5834187134826794,balanced,8.0,sqrt,3,300
25,4,0.07298579553055096,0.5783733751861242,balanced,8.0,sqrt,3,300
26,1,0.27580665932494314,0.6082794927016032,balanced,8.0,sqrt,3,500
26,2,0.09655449342633676,0.5265072667604314,balanced,8.0,sqrt,3,500
26,3,0.07194262116528737,0.5880984686954837,balanced,8.0,sqrt,3,500
26,4,0.08652397529807572,0.5676284759950099,balanced,8.0,sqrt,3,500
27,1,0.2706705561320927,0.597679756808735,balanced,8.0,sqrt,5,300
27,2,0.0936790972708656,0.5156680731364275,balanced,8.0,sqrt,5,300
27,3,0.08046544163375594,0.6133802231883254,balanced,8.0,sqrt,5,300
27,4,0.07565026526610974,0.5517727071511933,balanced,8.0,sqrt,5,300
28,1,0.27298630501756566,0.6034227575266101,balanced,8.0,sqrt,5,500
28,2,0.0916824177144559,0.507248007501172,balanced,8.0,sqrt,5,500
28,3,0.07652927077549945,0.6048791293993852,balanced,8.0,sqrt,5,500
28,4,0.07768751142649574,0.5566421183951065,balanced,8.0,sqrt,5,500
29,1,0.27904591230314074,0.614190883872626,balanced,8.0,sqrt,10,300
29,2,0.09296110255689469,0.5120300046882326,balanced,8.0,sqrt,10,300
29,3,0.07321273036639021,0.5960457452994766,balanced,8.0,sqrt,10,300
29,4,0.06594360479503358,0.5546299649885307,balanced,8.0,sqrt,10,300
30,1,0.281611893078419,0.6182942933361695,balanced,8.0,sqrt,10,500
30,2,0.09240050142516287,0.5092545710267229,balanced,8.0,sqrt,10,500
30,3,0.07473079710037142,0.6035499681555119,balanced,8.0,sqrt,10,500
30,4,0.06287117071504442,0.5514507626061412,balanced,8.0,sqrt,10,500
31,1,0.2643221572448401,0.5894552125707904,balanced,8.0,0.7,3,300
31,2,0.08575117907510098,0.4771495546179091,balanced,8.0,0.7,3,300
31,3,0.0725466629854823,0.5867969983108576,balanced,8.0,0.7,3,300
31,4,0.06315976776408375,0.5960803251639906,balanced,8.0,0.7,3,300
32,1,0.2676925787780802,0.5939840294949172,balanced,8.0,0.7,3,500
32,2,0.08532119202999153,0.4747679324894514,balanced,8.0,0.7,3,500
32,3,0.06862356179618997,0.567801068867167,balanced,8.0,0.7,3,500
32,4,0.0696268944549004,0.6052155016298443,balanced,8.0,0.7,3,500
33,1,0.25974235988780275,0.5861715987344128,balanced,8.0,0.7,5,300
33,2,0.08412915681737379,0.46854195968120027,balanced,8.0,0.7,5,300
33,3,0.07046090572717989,0.5637582034170521,balanced,8.0,0.7,5,300
33,4,0.0626490510949007,0.5881524407420822,balanced,8.0,0.7,5,300
34,1,0.26378087208832246,0.5920918525608642,balanced,8.0,0.7,5,500
34,2,0.08313758066052535,0.4638349742147211,balanced,8.0,0.7,5,500
34,3,0.06664544284558518,0.5391687204053942,balanced,8.0,0.7,5,500
34,4,0.06926463817615205,0.5910096985794197,balanced,8.0,0.7,5,500
35,1,0.27030673310312825,0.597657600170163,balanced,8.0,0.7,10,300
35,2,0.08204380618562021,0.4596155649320206,balanced,8.0,0.7,10,300
35,3,0.0641209584393801,0.523412621493645,balanced,8.0,0.7,10,300
35,4,0.051348974943103566,0.5349511046722202,balanced,8.0,0.7,10,300
36,1,0.27174970382253627,0.6000283604973723,balanced,8.0,0.7,10,500
36,2,0.08222529909576362,0.4609845288326301,balanced,8.0,0.7,10,500
36,3,0.06005030494688816,0.4982693212970398,balanced,8.0,0.7,10,500
36,4,0.04854610705110764,0.5234013441184756,balanced,8.0,0.7,10,500
37,1,0.27096921749080005,0.5991243696436326,balanced,,sqrt,3,300
37,2,0.09620447123706738,0.5262259728082513,balanced,,sqrt,3,300
